,Year,Month,Palestinians Injuries,Israelis Injuries,Palestinians Killed,Israelis Killed
234,2020.0,OCTOBER,,,2,0
235,2020.0,SEPTEMBER,,,1,0
236,2020.0,AUGUST,,,3,1
237,2020.0,JULY,,,1,0
238,2020.0,JUNE,,,1,0
239,2020.0,MAY ,,,4,1
240,2020.0,APRIL,,,1,0
241,2020.0,MARCH,,,2,0
242,2020.0,FEBRUARY,,,9,0
243,2020.0,JANUARY,,,6,0
244,2021.0,JANUARY,,,4,0
245,2021.0,FEBRUARY,,,1,0
246,2021.0,MARCH,,,4,0
247,2021.0,APRIL,,,1,0
248,2021.0,MAY,,,26,3
249,,,,,,
250,,,111475,5160,10000,1275
